X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
ARISA_662	ARISA_666.4	0.096365	0.096365	0.096365	2	2	64	0	0.999227	0.112103	0.224817	0.112103	0.224817	0	0.152867	0.096965	0.152867	0.096965	0	1.000000	0.052283	0.005521	0.080063	0.002342	10	11
ARISA_662	ARISA_667.6	-0.060783	-0.060783	-0.060783	37	38	82	-1	1.000000	-0.102897	0.265459	-0.102897	0.265459	0	-0.102219	0.268634	-0.144214	0.119224	-1	1.000000	0.058130	0.006033	0.162681	0.002770	10	12
ARISA_662	ARISA_670.5	0.090191	0.090191	0.090191	7	7	60	0	0.999846	0.165024	0.072890	0.165024	0.072890	0	0.049467	0.593168	-0.200476	0.029504	1	1.000000	0.022313	0.002408	0.298241	0.000919	10	13
ARISA_662	ARISA_676.9	-0.082151	-0.082151	-0.082151	10	11	109	-1	0.999986	-0.030776	0.739689	-0.093618	0.313290	-1	-0.005494	0.952710	-0.075006	0.419530	-1	1.000000	0.112611	0.006737	0.416233	0.007282	10	14
ARISA_662	ARISA_679.4	0.137507	0.137507	0.137507	2	2	114	0	0.884457	0.187597	0.041051	0.187597	0.041051	0	0.223550	0.014529	0.223550	0.014529	0	1.000000	0.014941	0.001579	0.018680	0.000582	10	15
ARISA_662	ARISA_682.4	0.110406	0.110406	0.110406	24	24	81	0	0.991155	0.165351	0.072317	-0.184077	0.046001	1	0.215980	0.018319	0.215980	0.018319	0	1.000000	0.022313	0.001673	0.022280	0.000665	10	16
ARISA_662	ARISA_686.9	0.139016	0.139016	0.139016	9	9	107	0	0.871349	0.269007	0.003094	0.269007	0.003094	0	0.294897	0.001131	0.294897	0.001131	0	1.000000	0.001934	0.000233	0.002994	0.000102	10	17
ARISA_662	ARISA_689.8	0.118968	0.118968	0.118968	36	36	77	0	0.973263	0.065778	0.477242	-0.099342	0.284486	-1	-0.004457	0.961627	-0.139761	0.131185	-1	1.000000	0.084717	0.006232	0.418099	0.002954	10	18
ARISA_662	ARISA_729.4	-0.125113	-0.125113	-0.125113	7	8	107	-1	0.954743	-0.035444	0.701949	-0.130658	0.158466	-1	-0.085305	0.356307	-0.190329	0.038980	-1	1.000000	0.111420	0.004254	0.206888	0.001160	10	19
ARISA_662	ARISA_828.8	-0.139466	-0.139466	-0.139466	24	25	58	-1	0.871349	-0.023545	0.799367	-0.038480	0.679088	-1	-0.042258	0.648164	-0.042258	0.648164	0	1.000000	0.118082	0.013059	0.318769	0.010437	10	20
ARISA_662	ARISA_831.8	-0.142493	-0.142493	-0.142493	7	7	77	0	0.850384	-0.067295	0.467120	-0.067295	0.467120	0	-0.086615	0.348941	-0.086615	0.348941	0	1.000000	0.083914	0.009437	0.203927	0.006220	10	21
ARISA_666.4	ARISA_667.6	0.135610	0.135610	0.135610	61	61	59	0	0.896832	0.240950	0.008297	0.240950	0.008297	0	0.200665	0.028655	0.237910	0.009481	1	1.000000	0.004367	0.000495	0.030341	0.000427	11	12
ARISA_666.4	ARISA_670.5	0.176071	0.176071	0.176071	17	17	103	0	0.522609	0.433700	0.000001	0.433700	0.000001	0	0.401820	0.000006	0.401820	0.000006	0	0.892259	0.000003	0.000000	0.000028	0.000001	11	13
ARISA_666.4	ARISA_676.9	-0.119684	-0.119684	-0.119684	21	21	85	0	0.970627	-0.080859	0.382012	-0.114906	0.215337	-1	-0.046619	0.614639	-0.111868	0.227798	-1	1.000000	0.072534	0.005350	0.306411	0.004441	11	14
