VarA,VarB,rho.spear,p.spear,fdr.spear,rho.clr,p.clr,fdr.clr,sparcc,p.sparcc,fdr.sparcc
Chlamydiae,Euryarchaeota,0.34837544967734574,1.7399283333618425e-8,2.8595343913512023e-8,0.34837544967734574,1.7399283333618425e-8,2.8595343913512023e-8,-0.24530974185222554,0,0
Actinobacteria,Chlamydiae,0.4313330309432461,1.1681694561627696e-12,2.5524164995926408e-12,0.4313330309432461,1.1681694561627696e-12,2.5524164995926408e-12,-0.06173178578498684,0.356,0.4441188118811881
Bacteroidetes,Chlamydiae,0.21094081595574007,8.293480990065591e-4,0.0010312288862647347,0.21094081595574007,8.293480990065591e-4,0.0010312288862647347,0.21173686222627208,0,0
Chlamydiae,Proteobacteria,0.37752589380965385,8.040965098374395e-10,1.4826755157002544e-9,0.37752589380965385,8.040965098374395e-10,1.4826755157002544e-9,0.1044427295696706,0.09000000000000008,0.13034482758620702
Chlamydiae,Verrucomicrobia,0.4502905662845568,8.734829650670214e-14,2.050786091896485e-13,0.4502905662845568,8.734829650670214e-14,2.050786091896485e-13,-0.048810242919993044,0.492,0.5885316455696202
Chlamydiae,Unassigned.1,0.4685344406387434,6.158286783908998e-15,1.521459087789282e-14,0.4685344406387434,6.158286783908998e-15,1.521459087789282e-14,0.018582067679153137,0.6779999999999999,0.7813536585365852
Chlamydiae,Chlamydiae,1,-0,-0,1,-0,-0,1,1,1
SBR1093,ZB3,0.4254695481316867,2.5229134803550564e-12,5.387916924148087e-12,0.4254695481316867,2.5229134803550564e-12,5.387916924148087e-12,0.3649093249287726,0,0
Cyanobacteria,ZB3,0.2577001604613256,4.002267448886457e-5,5.461577962740364e-5,0.2577001604613256,4.002267448886457e-5,5.461577962740364e-5,0.4483978481610399,0,0
Firmicutes,ZB3,0.4897590182747443,2.2924616555002467e-16,6.102468350556995e-16,0.4897590182747443,2.2924616555002467e-16,6.102468350556995e-16,0.2407043761975452,0,0
Euryarchaeota,ZB3,0.5210924846079307,1.149827353663782e-18,3.477077917479277e-18,0.5210924846079307,1.149827353663782e-18,3.477077917479277e-18,-0.08606209736779302,0.376,0.46447058823529414
Actinobacteria,ZB3,0.6189642505704233,1.2780761157317763e-27,5.7513425207929935e-27,0.6189642505704233,1.2780761157317763e-27,5.7513425207929935e-27,0.27493735668660735,0,0
Bacteroidetes,ZB3,0.3795683678494356,6.407127898690469e-10,1.1930514018251219e-9,0.3795683678494356,6.407127898690469e-10,1.1930514018251219e-9,0.2415208492279982,0,0
Proteobacteria,ZB3,0.5081517153953153,1.0942478528211246e-17,3.1099675817021433e-17,0.5081517153953153,1.0942478528211246e-17,3.1099675817021433e-17,0.16064947649187375,0,0
Verrucomicrobia,ZB3,0.5609090859840691,5.929891077074387e-22,2.0377262064855622e-21,0.5609090859840691,5.929891077074387e-22,2.0377262064855622e-21,0.14709237425078325,0.020000000000000018,0.033451327433628344
Unassigned.1,ZB3,0.5245781600284701,6.164091182498644e-19,1.894330460962998e-18,0.5245781600284701,6.164091182498644e-19,1.894330460962998e-18,0.039095147636641486,0.29200000000000004,0.37800000000000006
Chlamydiae,ZB3,0.5269945704052241,3.98408365121169e-19,1.2344128034082122e-18,0.5269945704052241,3.98408365121169e-19,1.2344128034082122e-18,0.2004303436818345,0,0
ZB3,ZB3,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1
SBR1093,TM7,0.07583438448030837,0.234077077032788,0.2506547737064982,0.07583438448030837,0.234077077032788,0.2506547737064982,-0.06809204795318455,0.09,0.13034482758620702
Cyanobacteria,TM7,-0.09127918519178112,0.15180140448051785,0.16536291323814337,-0.09127918519178112,0.15180140448051785,0.16536291323814337,0.014199146388090965,0.758,0.8653012048192771
Firmicutes,TM7,0.22443882138889204,3.678137733743661e-4,4.681266206582841e-4,0.22443882138889204,3.678137733743661e-4,4.681266206582841e-4,-0.12235778698754125,0.036,0.055770491803278685
Euryarchaeota,TM7,0.42481377438967816,2.7472727540296966e-12,5.8340960731641874e-12,0.42481377438967816,2.7472727540296966e-12,5.8340960731641874e-12,-0.15383343504589994,0,0
Actinobacteria,TM7,0.36633049610298973,2.716398565570072e-9,4.82065097551872e-9,0.36633049610298973,2.716398565570072e-9,4.82065097551872e-9,-0.2099372884266799,0,0
Bacteroidetes,TM7,0.1436030119475496,0.02371144272454339,0.026915691741373576,0.1436030119475496,0.02371144272454339,0.026915691741373576,-0.0071694791551489365,0.9019999999999999,0.9854219653179189
Proteobacteria,TM7,0.2827019573680723,6.123273388651008e-6,8.767414170113943e-6,0.2827019573680723,6.123273388651008e-6,8.767414170113943e-6,-0.11821717629222883,0.032,0.050823529411764747
TM7,Verrucomicrobia,0.4018072848216084,4.869313445791481e-11,9.390818788312141e-11,0.4018072848216084,4.869313445791481e-11,9.390818788312141e-11,-0.21134971914384434,0,0
TM7,Unassigned.1,0.47454340379516813,2.4821985548474783e-15,6.2551403582156456e-15,0.47454340379516813,2.4821985548474783e-15,6.2551403582156456e-15,-0.14071799391008874,0.002,0.0038181818181818217
